iteration,swarm,particle,feasible,violation,annual_carbon_offset,NPV_over_CAPEX,clearance,sp,p_rated,Nwt,wind_MW_per_km2,solar_MW,surface_tilt,surface_azimuth,b_P,b_E_h
1,0,0,1,0.0,-378827.42493570514,-2.6016664958937255,70.36948543200572,314.4302986195871,14.041450641074658,29.51974323486036,4.812893194050142,139.80199922133153,39.38284901364233,203.5063800469248,193.45929689018527,17.803894677727996
1,0,1,1,0.0,-10843.145911616395,0.9065116454715012,97.0897541890931,284.6231871604647,13.520668416408984,46.65184872316975,1.6393245237809824,44.81198094926192,1.8196557696293147,199.95719073287628,160.06821517097308,35.32043733688549
1,0,2,1,0.0,-35790.08958020501,0.6732508456276378,117.64801764560404,327.8653702746758,11.922190433793977,40.123812932890495,2.064469832820399,138.78657362567907,12.901795866814176,206.68013502297504,113.9326979150129,18.92782983965885
1,0,3,1,0.0,-36902.2280597219,0.6252100481235309,39.101117331508966,323.87739030947466,11.842254983248228,30.579527699089184,1.1691082039271963,134.9980345028991,55.088615045017924,187.01603981248542,189.87465413263234,28.545530767725403
1,0,4,1,0.0,-153930.97435640107,-2.299712693116564,49.54586906311646,269.9251126078946,15.464467938908973,7.7101462233171425,7.0009004390110094,144.00843783508708,18.934430496645682,157.7355778592912,76.7771031663531,17.093587753934415
1,0,5,1,0.0,-13854.800251473032,0.7052586210600005,72.72164474596676,270.17624215397126,19.825607570888394,9.592016483661263,2.8798908048535123,57.422618040449365,58.77974929188586,165.19749615238692,103.93593911413514,12.7993213120577
1,0,6,1,0.0,-18694.18104775523,0.6064581189827881,27.48665420100717,217.66002258628882,14.844943841979102,11.21823281068762,2.7692412551204812,92.6832790123639,73.88939068631416,155.82607654758368,170.8300833497847,7.45954268418267
1,0,7,1,0.0,-9052.705878857481,0.9471856228519087,117.41054115147354,274.9841922636323,19.651416322855056,32.218048388527066,7.653372214584715,36.66192468323452,25.45262663187686,157.21179367279012,73.30523555398608,8.274197882352786
1,0,8,1,0.0,-231934.06698645372,-2.024002362612467,44.97814973333736,266.2820791223472,5.962212445231765,36.16124537165089,6.099413087859176,75.11621345970572,47.09232481200297,155.6364306455065,123.67036920011228,37.45466311274371
1,0,9,1,0.0,-257034.78714338067,-3.650109017117533,45.0425847696456,306.7856607941891,6.976967936065883,37.23472418533545,3.60465483652481,61.14253154120986,52.78616413290749,151.20645277124962,169.20920525912535,4.169037142931694
